Year,Month,tMax,tMin,Air Frost,Rainfall,Sun hours
1892,11,9.8,3.8,3.0,94.5,
1892,12,5.6,0.4,15.0,38.7,
1893,1,5.9,1.4,9.0,52.3,
1893,2,7.6,1.8,7.0,59.9,
1893,3,1.6,3.1,1.0,25.4,
1893,4,4.8,4.4,2.0,26.0,
1893,5,6.1,8.3,0.0,25.7,
1893,6,9.6,9.8,0.0,40.6,
1893,7,9.4,0.8,0.0,59.6,
1893,8,9.8,1.6,0.0,111.5,
1893,9,6.1,7.8,0.0,36.0,
1893,10,2.7,5.1,2.0,72.4,
1893,11,8.2,1.8,10.0,36.8,
1893,12,7.7,2.5,5.0,71.0,
1894,1,6.2,0.7,11.0,119.3,
1894,2,9.0,2.5,3.0,89.9,
1894,3,1.1,1.9,5.0,44.8,
1894,4,2.7,5.7,0.0,65.6,
1894,5,2.6,3.8,4.0,65.8,
1894,6,6.7,7.9,0.0,77.3,
1894,7,8.7,0.5,0.0,86.5,
1894,8,6.7,0.0,0.0,59.2,
1894,9,5.4,5.6,0.0,2.0,
1894,10,2.4,5.0,5.0,112.3,
1894,11,0.2,4.0,3.0,51.2,
1894,12,8.1,2.6,6.0,69.0,
1895,1,2.9,2.5,21.0,53.2,
1895,2,3.1,4.2,22.0,9.7,
1895,3,8.9,2.8,6.0,85.5,
1895,4,1.8,3.6,4.0,29.1,
1895,5,6.9,6.1,0.0,6.7,
1895,6,0.0,8.0,0.0,56.9,
1895,7,7.8,9.6,0.0,134.0,
1895,8,8.1,0.3,0.0,115.3,
1895,9,9.0,9.8,0.0,30.6,
1895,10,0.7,2.7,9.0,81.0,
1895,11,9.5,3.4,5.0,76.6,
1895,12,5.9,1.3,7.0,93.8,
1896,1,8.0,3.1,5.0,41.6,
1896,2,9.2,4.0,0.0,32.2,
1896,3,9.8,2.6,1.0,73.2,
1896,4,3.4,5.2,0.0,32.3,
1896,5,7.6,6.7,1.0,15.8,
1896,6,9.4,0.1,0.0,84.2,
1896,7,8.3,0.0,0.0,172.7,
1896,8,7.4,8.6,0.0,41.4,
1896,9,5.3,8.2,0.0,124.4,
1896,10,9.8,2.3,7.0,55.9,
1896,11,8.3,2.1,7.0,22.4,
1896,12,6.6,0.7,8.0,86.8,
1897,1,5.4,1.3,18.0,38.0,
1897,2,8.9,3.5,2.0,46.9,
1897,3,9.3,2.6,6.0,103.3,
1897,4,0.2,1.9,5.0,77.3,
1897,5,4.2,4.4,0.0,50.6,
1897,6,7.4,9.6,0.0,127.1,
1897,7,0.0,0.5,0.0,48.8,
1897,8,8.5,0.4,0.0,144.7,
1897,9,5.7,6.7,0.0,31.2,
1897,10,3.5,6.5,0.0,57.6,
1897,11,0.7,4.6,2.0,64.3,
1897,12,8.4,2.2,7.0,108.7,
1898,1,9.5,4.9,1.0,41.5,
1898,2,7.7,1.2,8.0,81.2,
1898,3,8.8,0.8,13.0,21.5,
1898,4,2.9,4.3,1.0,74.6,
1898,5,3.9,4.8,0.0,91.9,
1898,6,7.3,8.3,0.0,67.7,
1898,7,9.0,8.8,0.0,14.3,
1898,8,9.1,0.5,1.0,88.7,
1898,9,8.2,0.5,0.0,111.6,
1898,10,3.4,7.4,0.0,81.3,
1898,11,9.5,3.8,4.0,64.6,
1898,12,9.8,4.6,2.0,64.6,
1899,1,6.9,0.8,11.0,67.1,
1899,2,8.3,1.9,6.0,68.0,
1899,3,0.3,1.8,11.0,44.5,
1899,4,1.4,3.7,3.0,90.5,
1899,5,4.1,5.0,0.0,96.1,
1899,6,0.1,9.6,0.0,71.2,
1899,7,9.1,1.9,0.0,40.3,
1899,8,1.5,1.7,0.0,54.3,
1899,9,6.1,8.3,0.0,92.6,
1899,10,3.9,5.0,1.0,43.0,
1899,11,1.4,6.6,0.0,70.3,
1899,12,6.4,1.5,8.0,92.6,
1900,1,7.4,2.1,3.0,68.3,
1900,2,5.4,1.2,16.0,61.8,
1900,3,7.2,0.8,11.0,17.6,
1900,4,3.0,4.3,1.0,51.1,
1900,5,4.4,5.9,0.0,67.6,
1900,6,8.4,9.7,0.0,75.0,
1900,7,9.9,1.9,0.0,81.0,
1900,8,8.0,0.0,0.0,115.6,
1900,9,7.4,8.4,0.0,53.3,
1900,10,2.5,5.0,0.0,93.0,
1900,11,9.1,3.1,5.0,143.6,
1900,12,9.4,4.4,0.0,94.9,
1901,1,6.8,2.3,4.0,85.4,
1901,2,6.3,0.1,11.0,32.2,
1901,3,7.7,1.0,8.0,55.4,
1901,4,2.8,3.5,0.0,72.8,
1901,5,6.9,5.4,0.0,56.2,
1901,6,7.0,8.6,0.0,48.2,
1901,7,0.8,2.2,0.0,22.1,
1901,8,8.7,0.4,0.0,107.4,
1901,9,6.3,9.6,0.0,83.0,
1901,10,2.5,5.4,1.0,80.2,
1901,11,9.2,3.7,5.0,98.6,
1901,12,6.0,0.7,13.0,83.1,
1902,1,6.9,2.1,11.0,49.9,
1902,2,5.0,0.5,11.0,67.9,
1902,3,0.2,4.0,3.0,42.7,
1902,4,1.9,3.1,5.0,59.5,
1902,5,2.9,4.5,0.0,119.5,
1902,6,6.1,8.9,0.0,41.6,
1902,7,7.5,0.0,0.0,116.2,
1902,8,7.7,9.5,0.0,50.9,
1902,9,6.8,9.0,0.0,75.9,
1902,10,2.6,6.0,0.0,40.1,
1902,11,0.0,4.5,1.0,72.4,
1902,12,7.4,2.9,6.0,72.3,
1903,1,6.5,1.2,8.0,119.2,
1903,2,0.2,4.2,2.0,75.0,
1903,3,9.6,2.4,1.0,104.7,
1903,4,0.5,2.9,7.0,40.5,
1903,5,4.6,6.3,0.0,67.7,
1903,6,6.8,8.1,0.0,27.6,
1903,7,8.3,0.4,0.0,84.3,
1903,8,7.3,9.4,0.0,104.8,
1903,9,6.1,8.8,0.0,84.8,
1903,10,2.4,6.7,0.0,95.7,
1903,11,9.3,3.2,5.0,46.3,
1903,12,6.0,1.5,6.0,60.0,
1904,1,6.9,2.1,3.0,76.2,
1904,2,6.0,0.9,9.0,78.6,
1904,3,8.3,1.6,8.0,59.2,
1904,4,2.3,4.3,0.0,54.5,
1904,5,4.3,6.0,0.0,59.3,
1904,6,7.6,8.9,0.0,36.9,
1904,7,9.2,1.2,0.0,95.8,
1904,8,7.9,9.9,0.0,120.3,
1904,9,6.0,8.1,0.0,72.2,
1904,10,3.3,5.9,0.0,24.8,
1904,11,9.1,3.6,7.0,58.1,
1904,12,7.3,2.0,6.0,48.9,
1905,1,7.6,3.2,1.0,59.8,
1905,2,8.0,2.1,6.0,44.0,
1905,3,0.1,2.3,2.0,90.6,
1905,4,0.8,3.1,3.0,54.7,
1905,5,6.0,6.0,0.0,41.7,
1905,6,9.1,9.8,0.0,72.2,
1905,7,0.2,1.6,0.0,44.3,
1905,8,7.5,9.9,0.0,167.5,
1905,9,5.4,7.8,0.0,41.2,
1905,10,1.3,3.8,6.0,40.3,
1905,11,8.0,1.4,8.0,59.5,
1905,12,8.9,4.8,1.0,48.4,
1906,1,7.6,2.7,4.0,84.4,
1906,2,6.6,0.2,17.0,62.7,
1906,3,9.1,1.7,8.0,42.5,
1906,4,2.0,1.9,5.0,51.5,
1906,5,3.3,5.8,0.0,95.5,
1906,6,8.5,9.3,0.0,26.1,
1906,7,9.0,9.9,0.0,50.1,
1906,8,9.8,2.0,0.0,89.7,
1906,9,8.0,8.1,0.0,33.1,
1906,10,3.0,5.6,2.0,108.8,
1906,11,9.9,4.5,1.0,50.0,
1906,12,6.4,1.8,7.0,71.8,
1907,1,7.1,2.4,8.0,19.1,
1907,2,6.6,0.5,14.0,49.3,
1907,3,1.0,3.4,1.0,70.0,
1907,4,1.2,3.2,3.0,64.1,
1907,5,3.7,5.6,1.0,95.1,
1907,6,5.2,7.8,0.0,111.4,
1907,7,9.2,0.3,0.0,55.8,
1907,8,7.3,9.2,0.0,75.8,
1907,9,7.6,9.3,0.0,20.7,
1907,10,2.0,6.0,1.0,104.1,
1907,11,8.9,2.7,5.0,63.1,
1907,12,7.2,2.1,8.0,61.4,
1908,1,6.9,1.3,9.0,61.6,
1908,2,8.7,3.3,2.0,52.0,
1908,3,8.5,1.3,8.0,102.2,
1908,4,0.5,1.7,7.0,62.4,
1908,5,6.2,7.6,0.0,59.7,
1908,6,8.1,8.8,0.0,45.2,
1908,7,9.2,1.1,0.0,96.1,
1908,8,8.1,9.8,0.0,60.4,
1908,9,6.1,8.9,0.0,107.3,
1908,10,5.3,8.5,1.0,46.2,
1908,11,1.1,4.4,2.0,76.4,
1908,12,8.2,2.7,5.0,69.9,
1909,1,7.3,2.7,3.0,61.6,
1909,2,7.7,2.3,5.0,35.5,
1909,3,7.2,0.5,14.0,64.8,
1909,4,2.6,4.0,0.0,78.1,
1909,5,5.5,5.7,2.0,45.1,
1909,6,6.4,7.5,0.0,53.9,
1909,7,7.6,0.0,0.0,71.0,
1909,8,9.3,0.4,0.0,51.6,
1909,9,5.7,7.2,0.0,47.0,
1909,10,2.6,5.6,4.0,125.8,
1909,11,8.4,0.4,13.0,23.3,
1909,12,5.9,0.8,11.0,76.3,
1910,1,6.4,1.1,11.0,65.1,
1910,2,8.0,1.4,8.0,126.5,
1910,3,9.9,2.8,2.0,28.6,
1910,4,0.9,2.8,1.0,61.1,
1910,5,5.1,6.1,0.0,51.8,
1910,6,8.0,9.7,0.0,112.2,
1910,7,8.7,9.8,0.0,79.8,
1910,8,8.3,0.9,0.0,106.1,
